title,artist,release_date,country
Beatles,지아이,2014-04-03,KR
Beatles,Roar Engelberg,1991,NO
Beatles,Emmerson Nogueira,2004,BR
Beatles,Uakti,2012-11-15,BR
beatles,Chuckamuck,2022-09-30,XW
Beatles,Emmerson Nogueira,2004,BR
Beatles,Karel Gott,,N/A
Beatles,André Mehmari,2005,XW
Beatles,Jade,1976,HK
Beatles ’65 / Beatles VI,The Beatles,2000,RU
Beatles ’65 / Beatles VI,The Beatles,2004,US
Bravo! Beatles: The Beatles Relations,Various Artists,,N/A
Beatles láz,Hungária,1997,HU
Play Beatles,Vibes & Strings,2016,DE
Instrumental Beatles,Instrumental Beatles,2014,US
Beatles Party,The Big Four,,DE
Beatles Party,The Big Four,,BE
Beatles Party,The Big Four,1973,XE
Beatles Story,Mike Bikerton,1976,IT
The Beatles,Dwight Twilley,2009,US
Jazz Beatles,Jazz Beatles,2000,IL
Black Beatles,ZZanu,2013-11-30,XW
Blues Beatles,Blues Beatles,2018,RU
Electric Beatles,"Ofra Harnoy, Armin Electric Strings",1988,US
Bossa’n Beatles,Rita Lee,2006,US
